This file saves data from the most recent trajectory.
x_nom_vel,y_nom_vel,z_nom_vel,roll_nom_vel,pitch_nom_vel,yaw_nom_vel,x_compl_vel,y_compl_vel,z_compl_vel,roll_compl_vel,pitch_compl_vel,yaw_compl_vel,Fx,Fy,Fz,Tx,Ty,Tz
-0.005016,-0.000817,0.001249,0.004487,0.007960,-0.000045,-0.004760,-0.000764,0.001249,0.004487,0.007960,-0.000045,13.763708,-13.482353,-4.992484,-0.814546,2.347468,-4.754232,
-0.005031,-0.000822,0.001265,0.004504,0.008012,-0.000014,-0.004657,-0.000695,0.001265,0.004504,0.008012,-0.000014,14.293466,-12.948861,-5.133560,-0.796168,2.282610,-4.880356,
-0.005046,-0.000827,0.001280,0.004520,0.008063,0.000016,-0.004542,-0.000602,0.001280,0.004520,0.008063,0.000016,13.858144,-13.147135,-4.872240,-0.790684,2.324285,-4.827030,
-0.005061,-0.000832,0.001296,0.004537,0.008115,0.000047,-0.004423,-0.000494,0.001296,0.004537,0.008115,0.000047,14.994146,-12.311869,-4.902643,-0.845393,2.455838,-5.006608,
-0.005076,-0.000837,0.001312,0.004553,0.008167,0.000077,-0.004301,-0.000377,0.001312,0.004553,0.008167,0.000077,15.497460,-11.736384,-4.949768,-0.878970,2.380581,-5.094470,
-0.005092,-0.000842,0.001328,0.004570,0.008218,0.000108,-0.004181,-0.000253,0.001328,0.004570,0.008218,0.000108,16.102558,-11.194940,-4.675933,-0.909082,2.585491,-5.208325,
-0.005107,-0.000847,0.001344,0.004586,0.008270,0.000138,-0.004063,-0.000127,0.001344,0.004586,0.008270,0.000138,16.612011,-10.595916,-4.922331,-0.943883,2.392382,-5.317940,
-0.005122,-0.000852,0.001360,0.004602,0.008321,0.000168,-0.003949,-0.000002,0.001360,0.004602,0.008321,0.000168,16.976642,-10.139952,-4.386739,-1.001296,2.634094,-5.372418,
-0.005137,-0.000857,0.001376,0.004619,0.008373,0.000199,-0.003842,0.000120,0.001376,0.004619,0.008373,0.000199,16.819428,-10.279289,-4.756383,-1.049323,2.391951,-5.337232,
-0.005152,-0.000862,0.001391,0.004635,0.008424,0.000229,-0.003744,0.000237,0.001391,0.004635,0.008424,0.000229,17.665511,-9.606354,-4.565068,-1.109015,2.545397,-5.442460,
-0.005168,-0.000867,0.001407,0.004651,0.008475,0.000259,-0.003654,0.000345,0.001407,0.004651,0.008475,0.000259,17.508713,-9.845661,-4.753776,-1.171680,2.379475,-5.304966,
-0.005183,-0.000871,0.001423,0.004667,0.008527,0.000289,-0.003574,0.000445,0.001423,0.004667,0.008527,0.000289,17.831641,-9.538825,-4.786294,-1.212581,2.397185,-5.405680,
-0.005198,-0.000876,0.001439,0.004682,0.008578,0.000319,-0.003503,0.000534,0.001439,0.004682,0.008578,0.000319,17.702096,-9.683152,-4.665634,-1.264114,2.362875,-5.252318,
-0.005213,-0.000881,0.001455,0.004698,0.008629,0.000349,-0.003443,0.000612,0.001455,0.004698,0.008629,0.000349,17.594493,-9.637715,-4.808897,-1.326135,2.264685,-5.301565,
-0.005228,-0.000886,0.001470,0.004714,0.008680,0.000379,-0.003395,0.000678,0.001470,0.004714,0.008680,0.000379,17.382510,-10.043868,-4.617947,-1.389234,2.297317,-5.070894,
-0.005244,-0.000891,0.001486,0.004729,0.008731,0.000408,-0.003357,0.000733,0.001486,0.004729,0.008731,0.000408,17.381691,-10.025969,-4.946842,-1.432850,2.089829,-5.043169,
-0.005259,-0.000896,0.001502,0.004745,0.008783,0.000438,-0.003330,0.000776,0.001502,0.004745,0.008783,0.000438,17.360075,-10.083373,-4.854894,-1.441049,2.199172,-4.974295,
-0.005274,-0.000901,0.001518,0.004760,0.008834,0.000468,-0.003313,0.000807,0.001518,0.004760,0.008834,0.000468,16.854443,-10.423459,-5.170566,-1.470216,1.969592,-4.790826,
-0.005289,-0.000905,0.001533,0.004775,0.008885,0.000497,-0.003306,0.000829,0.001533,0.004775,0.008885,0.000497,16.565634,-10.493784,-5.119000,-1.503476,2.003375,-4.797371,
-0.005304,-0.000910,0.001549,0.004790,0.008936,0.000527,-0.003309,0.000841,0.001549,0.004790,0.008936,0.000527,16.302271,-10.842002,-5.269617,-1.531316,1.895134,-4.588242,
-0.005320,-0.000915,0.001565,0.004806,0.008986,0.000556,-0.003321,0.000844,0.001565,0.004806,0.008986,0.000556,15.835176,-10.899861,-5.421786,-1.559883,1.787093,-4.594900,
-0.005335,-0.000920,0.001581,0.004821,0.009037,0.000586,-0.003342,0.000839,0.001581,0.004821,0.009037,0.000586,15.400185,-11.300527,-5.405056,-1.579183,1.779765,-4.379507,
-0.005350,-0.000925,0.001596,0.004835,0.009088,0.000615,-0.003372,0.000828,0.001596,0.004835,0.009088,0.000615,15.210523,-11.132602,-5.727959,-1.587968,1.615520,-4.438765,
-0.005365,-0.000929,0.001612,0.004850,0.009139,0.000645,-0.003408,0.000811,0.001612,0.004850,0.009139,0.000645,14.412456,-11.782947,-5.667465,-1.606668,1.612441,-4.175360,
-0.005380,-0.000934,0.001628,0.004865,0.009190,0.000674,-0.003452,0.000789,0.001628,0.004865,0.009190,0.000674,13.726649,-12.164716,-6.106632,-1.598592,1.346916,-4.049420,
-0.005395,-0.000939,0.001643,0.004880,0.009240,0.000703,-0.003504,0.000762,0.001643,0.004880,0.009240,0.000703,13.263286,-12.221452,-5.955517,-1.601319,1.459482,-4.004085,
-0.005411,-0.000943,0.001659,0.004894,0.009291,0.000732,-0.003563,0.000730,0.001659,0.004894,0.009291,0.000732,11.937816,-13.202761,-6.363723,-1.619660,1.150531,-3.669131,
-0.005426,-0.000948,0.001674,0.004909,0.009342,0.000761,-0.003630,0.000693,0.001674,0.004909,0.009342,0.000761,11.829100,-12.909573,-6.284194,-1.641046,1.261718,-3.688956,
-0.005441,-0.000953,0.001690,0.004923,0.009392,0.000790,-0.003714,0.000642,0.001690,0.004923,0.009392,0.000790,10.310521,-13.872974,-6.680935,-1.656610,0.971810,-3.411144,
-0.005456,-0.000957,0.001706,0.004937,0.009443,0.000819,-0.003830,0.000559,0.001706,0.004937,0.009443,0.000819,9.681337,-14.088285,-6.750101,-1.614624,1.010588,-3.308787,
-0.005471,-0.000962,0.001721,0.004952,0.009493,0.000848,-0.003977,0.000443,0.001721,0.004952,0.009493,0.000848,8.435314,-14.589564,-7.051588,-1.597259,0.777981,-3.175149,
-0.005487,-0.000967,0.001737,0.004966,0.009544,0.000877,-0.004144,0.000305,0.001737,0.004966,0.009544,0.000877,7.625308,-15.019503,-7.136523,-1.599550,0.757950,-2.947171,
-0.005502,-0.000971,0.001752,0.004980,0.009594,0.000906,-0.004321,0.000156,0.001752,0.004980,0.009594,0.000906,6.052764,-15.617070,-7.400916,-1.614174,0.518696,-2.826923,
-0.005517,-0.000976,0.001768,0.004994,0.009645,0.000934,-0.004499,0.000003,0.001768,0.004994,0.009645,0.000934,5.286392,-16.003800,-7.551630,-1.610625,0.492551,-2.585549,
-0.005532,-0.000980,0.001783,0.005008,0.009695,0.000963,-0.004672,-0.000148,0.001783,0.005008,0.009695,0.000963,4.349020,-16.002836,-7.807539,-1.570036,0.317512,-2.588511,
-0.005547,-0.000985,0.001799,0.005021,0.009745,0.000992,-0.004836,-0.000291,0.001799,0.005021,0.009745,0.000992,3.448921,-16.459420,-8.008992,-1.557102,0.232246,-2.329210,
-0.005563,-0.000990,0.001815,0.005035,0.009795,0.001020,-0.004988,-0.000425,0.001815,0.005035,0.009795,0.001020,2.411300,-16.545754,-8.192912,-1.544302,0.129467,-2.296793,
-0.005578,-0.000994,0.001830,0.005049,0.009846,0.001049,-0.005127,-0.000546,0.001830,0.005049,0.009846,0.001049,1.871545,-16.495965,-8.559690,-1.508601,0.010633,-2.186756,
-0.005593,-0.000999,0.001846,0.005062,0.009896,0.001077,-0.005251,-0.000654,0.001846,0.005062,0.009896,0.001077,1.135659,-16.594539,-8.440293,-1.437580,0.063580,-2.147643,
-0.005608,-0.001003,0.001861,0.005076,0.009946,0.001106,-0.005360,-0.000749,0.001861,0.005076,0.009946,0.001106,0.074979,-17.419242,-8.863899,-1.394700,-0.233821,-1.848514,
-0.005623,-0.001008,0.001877,0.005089,0.009996,0.001134,-0.005455,-0.000831,0.001877,0.005089,0.009996,0.001134,0.016279,-16.913442,-8.699169,-1.389718,-0.110251,-1.903799,
-0.005638,-0.001012,0.001892,0.005102,0.010046,0.001162,-0.005536,-0.000899,0.001892,0.005102,0.010046,0.001162,-1.235532,-17.512115,-9.203076,-1.344564,-0.419628,-1.686279,
-0.005654,-0.001017,0.001907,0.005116,0.010096,0.001190,-0.005604,-0.000956,0.001907,0.005116,0.010096,0.001190,-1.319874,-17.228399,-9.142440,-1.271414,-0.313355,-1.643112,
-0.005669,-0.001021,0.001923,0.005129,0.010146,0.001218,-0.005661,-0.001002,0.001923,0.005129,0.010146,0.001218,-2.180755,-17.497843,-9.438322,-1.248749,-0.574506,-1.556801,
-0.005684,-0.001026,0.001938,0.005142,0.010196,0.001247,-0.005708,-0.001038,0.001938,0.005142,0.010196,0.001247,-2.395814,-17.533693,-9.297575,-1.208577,-0.488226,-1.400981,
-0.005699,-0.001030,0.001954,0.005155,0.010245,0.001275,-0.005747,-0.001067,0.001954,0.005155,0.010245,0.001275,-3.563030,-17.966440,-9.697963,-1.163134,-0.804130,-1.229348,
-0.005714,-0.001034,0.001969,0.005168,0.010295,0.001302,-0.005778,-0.001088,0.001969,0.005168,0.010295,0.001302,-3.311810,-17.292802,-9.741779,-1.156257,-0.733138,-1.264760,
-0.005729,-0.001039,0.001985,0.005180,0.010345,0.001330,-0.005803,-0.001103,0.001985,0.005180,0.010345,0.001330,-3.856235,-17.275146,-9.920705,-1.165569,-0.896244,-1.153367,
-0.005745,-0.001043,0.002000,0.005193,0.010395,0.001358,-0.005823,-0.001113,0.002000,0.005193,0.010395,0.001358,-3.971461,-17.086584,-9.885156,-1.149682,-0.901292,-1.101462,
-0.005760,-0.001048,0.002015,0.005206,0.010444,0.001386,-0.005839,-0.001119,0.002015,0.005206,0.010444,0.001386,-4.207418,-16.696285,-9.887337,-1.060166,-0.891954,-1.106219,
-0.005775,-0.001052,0.002031,0.005218,0.010494,0.001414,-0.005852,-0.001123,0.002031,0.005218,0.010494,0.001414,-4.531200,-16.506243,-10.089189,-1.026702,-0.970012,-1.035075,
-0.005790,-0.001056,0.002046,0.005231,0.010544,0.001441,-0.005863,-0.001124,0.002046,0.005231,0.010544,0.001441,-4.874299,-16.498800,-9.967771,-1.013604,-1.004117,-0.951193,
-0.005805,-0.001061,0.002061,0.005243,0.010593,0.001469,-0.005872,-0.001123,0.002061,0.005243,0.010593,0.001469,-4.757096,-16.245818,-10.245813,-0.933296,-1.147128,-0.877489,
-0.005820,-0.001065,0.002077,0.005255,0.010643,0.001497,-0.005881,-0.001122,0.002077,0.005255,0.010643,0.001497,-4.839099,-15.832326,-10.114561,-0.909455,-1.083595,-0.871683,
-0.005836,-0.001069,0.002092,0.005268,0.010692,0.001524,-0.005889,-0.001120,0.002092,0.005268,0.010692,0.001524,-4.979366,-15.573222,-10.509169,-0.888549,-1.306233,-0.808936,
-0.005851,-0.001074,0.002107,0.005280,0.010741,0.001551,-0.005897,-0.001118,0.002107,0.005280,0.010741,0.001551,-4.766741,-14.985203,-10.175496,-0.843800,-1.123563,-0.859698,
-0.005866,-0.001078,0.002123,0.005292,0.010791,0.001579,-0.005905,-0.001116,0.002123,0.005292,0.010791,0.001579,-5.271342,-15.098727,-10.544131,-0.819242,-1.385029,-0.711824,
-0.005881,-0.001082,0.002138,0.005304,0.010840,0.001606,-0.005913,-0.001114,0.002138,0.005304,0.010840,0.001606,-4.635097,-13.983304,-10.423471,-0.812439,-1.227401,-0.894327,
-0.005896,-0.001086,0.002153,0.005316,0.010889,0.001633,-0.005922,-0.001112,0.002153,0.005316,0.010889,0.001633,-4.780112,-13.747970,-10.740723,-0.799615,-1.437941,-0.801673,
-0.005911,-0.001091,0.002169,0.005328,0.010939,0.001661,-0.005932,-0.001099,0.002169,0.005328,0.010939,0.001661,-4.337520,-13.006833,-10.462857,-0.793180,-1.304574,-0.893246,
-0.005927,-0.001095,0.002184,0.005339,0.010988,0.001688,-0.005942,-0.001055,0.002184,0.005339,0.010988,0.001688,-4.203244,-12.431500,-10.565683,-0.805635,-1.378987,-0.901148,
-0.005942,-0.001099,0.002199,0.005351,0.011037,0.001715,-0.005953,-0.000975,0.002199,0.005351,0.011037,0.001715,-4.028065,-11.678609,-10.709562,-0.789227,-1.450350,-0.961353,
-0.005957,-0.001103,0.002214,0.005362,0.011086,0.001742,-0.005965,-0.000868,0.002214,0.005362,0.011086,0.001742,-4.017210,-11.293630,-10.519578,-0.767321,-1.434061,-0.942163,
-0.005972,-0.001107,0.002230,0.005374,0.011135,0.001769,-0.005977,-0.000743,0.002230,0.005374,0.011135,0.001769,-3.966250,-10.794915,-10.538224,-0.786281,-1.558424,-0.941901,
-0.005987,-0.001112,0.002245,0.005385,0.011184,0.001796,-0.005990,-0.000605,0.002245,0.005385,0.011184,0.001796,-3.663402,-9.951714,-10.437263,-0.809541,-1.494932,-1.037222,
-0.006002,-0.001116,0.002260,0.005397,0.011233,0.001823,-0.006003,-0.000461,0.002260,0.005397,0.011233,0.001823,-3.739818,-9.708566,-10.778924,-0.742066,-1.655886,-0.945073,
-0.006017,-0.001120,0.002275,0.005408,0.011282,0.001849,-0.006017,-0.000315,0.002275,0.005408,0.011282,0.001849,-3.814943,-9.385342,-10.307773,-0.713822,-1.532576,-0.999838,
-0.006033,-0.001124,0.002290,0.005419,0.011331,0.001876,-0.006031,-0.000172,0.002290,0.005419,0.011331,0.001876,-3.777020,-9.294506,-10.171898,-0.727979,-1.607059,-0.838440,
-0.006048,-0.001128,0.002305,0.005430,0.011380,0.001903,-0.006045,-0.000035,0.002305,0.005430,0.011380,0.001903,-3.860140,-8.719637,-10.127618,-0.679692,-1.568321,-0.914289,
-0.006063,-0.001132,0.002321,0.005441,0.011429,0.001930,-0.006060,0.000093,0.002321,0.005441,0.011429,0.001930,-4.297750,-8.820640,-9.984026,-0.664051,-1.612057,-0.725361,
-0.006078,-0.001136,0.002336,0.005452,0.011477,0.001956,-0.006075,0.000211,0.002336,0.005452,0.011477,0.001956,-4.461122,-8.866569,-9.607520,-0.670709,-1.645447,-0.621880,
-0.006093,-0.001141,0.002351,0.005463,0.011526,0.001983,-0.006090,0.000318,0.002351,0.005463,0.011526,0.001983,-4.326163,-8.448693,-9.343150,-0.676372,-1.560858,-0.560251,
-0.006108,-0.001145,0.002366,0.005474,0.011575,0.002009,-0.006105,0.000412,0.002366,0.005474,0.011575,0.002009,-4.945825,-8.542836,-9.355239,-0.621590,-1.721813,-0.388430,
-0.006123,-0.001149,0.002381,0.005484,0.011623,0.002036,-0.006120,0.000494,0.002381,0.005484,0.011623,0.002036,-5.081788,-8.470158,-8.778000,-0.622107,-1.563084,-0.315383,
-0.006138,-0.001153,0.002396,0.005495,0.011672,0.002062,-0.006135,0.000564,0.002396,0.005495,0.011672,0.002062,-5.316328,-8.309032,-8.710135,-0.627573,-1.662375,-0.160296,
-0.006154,-0.001157,0.002411,0.005506,0.011720,0.002088,-0.006151,0.000623,0.002411,0.005506,0.011720,0.002088,-5.309926,-7.945816,-8.346745,-0.546771,-1.545399,-0.153439,
-0.006169,-0.001161,0.002426,0.005516,0.011769,0.002114,-0.006166,0.000675,0.002426,0.005516,0.011769,0.002114,-3.362359,-6.184973,-8.785714,-0.650987,-1.617138,-0.278998,
-0.006184,-0.001165,0.002441,0.005526,0.011817,0.002141,-0.006182,0.000721,0.002441,0.005526,0.011817,0.002141,-6.447907,-8.650651,-8.236112,-0.627488,-1.730848,0.306738,
